provider_name,country_name,foreign_university_name,foreign_city_name,foreign_course_code,course_name,instruction_language_name,department_name,umd_course_name,course_code,comments,combo_cats,combo_cat_ids,review_faculty,approval_date,syllabus_relative_path,id,s_id,is_active
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1202","Comparative Zoology",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,"Category 5; Social Sciences without Lab","140,139",,2012-04-30,,64004,50400,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"EDST 1012","Education and Social Inequality",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,"Social Sciences; Category 6","141,142",,2013-04-30,,64005,50401,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"EDST 2022","Morality and Religion in  Contemporary Education",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,"Category 7; Humanities","144,143",,2014-04-30,,64006,50402,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"EDST 2025","Disaffection and Schooling",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,"Category 7; Humanities","144,143",,2012-04-30,,64007,50403,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,BIOS1200,"Biological Diversity",,BIOL,"Biology Major/Minor Elective Credit",1XXX,,"Category 4; Natural Sciences with Lab","148,149",,2013-04-30,,64012,50408,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ECPP3106,"Comparative Childhoods and Curricula",,EDUC,"Education Major/Minor Elective Credit",3XXX,,"Global Perspectives; Category 8","150,152",,2013-04-30,,64015,50411,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"DRAM 1101","Bodies, Voices and Spaces",,TH,"Acting Fundamentals I ",1111,,"Fine Arts",156,,2010-04-30,,64060,50456,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"DFPR 1001","Directors on Screen",,TH,"Introduction to Film",1051,,"Fine Arts",156,,2012-04-30,,64061,50457,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,FLMS1100,"Introduction to Film: Theory and Practice",,TH,"Introduction to Film or 1XXX film studies minor elective credit",1051,,"Fine Arts",156,,2013-04-30,,64062,50458,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"DRAM 1103","Reading Performance",,TH,"Introduction to Theatre",1001,,"Fine Arts",156,,2010-04-30,,64063,50459,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GEOG 1024","Unequal World",,GEOG,"World Regional Geography",1202,,"Global Perspectives",150,,2011-04-30,,64106,50502,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 1000","Studying Media and Culture",,COMM,"Media and Society",1500,,Humanities,143,,2012-04-30,,64145,50542,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"EDUC 1005","Ideas in Education: Learning and Teaching",,EDUC,"Education in Modern Society",1101,,Humanities,143,,2013-04-30,,64146,50543,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 1113","English Literature 1585-1800",,ENGL,"British Literature I (Liberal Arts, Pre-graduate studies, and English Minor Credit)",3501,,Humanities,143,,2012-04-30,,64147,50544,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 1007","Creativity in Women's Writing: Difference in View",,ENGL,"Women Writers",2581,,Humanities,143,,2013-04-30,,64148,50545,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"HIST 1014","Europe, 1789-1914",,HIST,"Europe in the Modern Age",1208,,Humanities,143,,0000-00-00,,64149,50546,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ELAN 1001","Describing English",,LING,"Introduction to Language",1811,,"Logic and Quantitative Reasoning",145,,2010-04-30,,64201,50599,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1201","Cell Biology",,BIOL,"General Biology I",1011,,"Natural Sciences",157,,2012-04-30,,64228,50630,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,BIOS1201,"Cell Biology",,BIOL,"General Biology I",1011,,"Natural Sciences",157,,2013-04-30,,64229,50631,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1025","Introduction to Molecular Bioscience",,CHEM,"Introduction to General, Organic & Biochemistry I",1113,,"Natural Sciences",157,,2012-04-30,,64230,50632,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1102","Introduction to Forensic Biology",,BIOL,"Biol Major/Minor Elective Credit",1XXX,,"Category 4; Natural Sciences with Lab","148,149",,2012-04-30,,64239,50642,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1204","Health of Disease",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,"Category 4; Natural Sciences with Lab","148,149",,2012-04-30,,64240,50643,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1203","Biology of Disease",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,"Category 5; Natural Sciences with Lab","140,149",,2012-04-30,,64241,50644,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1200","Biological Diversity",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,"Sustainability; Category 4; Natural Sciences with Lab","153,148,149",,2013-04-30,,64247,50650,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1200","Biological Diversity",,BIOL,"General Biology II",1012,,"Sustainability; Category 4; Natural Sciences with Lab","153,148,149",,2012-04-30,,64247,50864,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1340","Chinese (Mandarin) Stage 1",,CHIN,"Beginning Chinese I: A Practical Introduction to Everyday Mandarin",1101,,"Oral Communication and Languages",159,,2013-04-30,,64277,50683,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1350","Chinese (Mandarin) Stage 2",,CHIN,"Beginning Chinese II: A Practical Introduction to Everyday Mandarin Chinese",1102,,"Oral Communication and Languages",159,,2013-04-30,,64278,50684,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1210","French Stage 1",,FR,"Beginning French I",1101,,"Oral Communication and Languages",159,,2013-04-30,,64279,50685,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1270","French Stage 2",,FR,"Beginning French II",1102,,"Oral Communication and Languages",159,,2013-04-30,,64280,50686,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1230","German Stage 1",,GER,"Beginning German I",1101,,"Oral Communication and Languages",159,,2012-04-30,,64281,50687,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1260","German Stage 2",,GER,"Beginning German II",1102,,"Oral Communication and Languages",159,,2013-04-30,,64282,50688,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1290","Japanese Stage 1",,LANG,"Beginning Foreign Language I",1101,,"Oral Communication and Languages",159,,2013-04-30,,64283,50689,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1310","Italian Stage 1",,LANG,"Beginning Foreign Language I",1101,,"Oral Communication and Languages",159,,2013-04-30,,64284,50690,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1320","Italian Stage 2",,LANG,"Beginning Foreign Language II",1102,,"Oral Communication and Languages",159,,2013-04-30,,64285,50691,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1330","Japanese Stage 2",,LANG,"Beginning Foreign Language II",1102,,"Oral Communication and Languages",159,,2013-04-30,,64286,50692,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1250","Spanish Stage 1",,SPAN,"Beginning Spanish I",1101,,"Oral Communication and Languages",159,,2012-04-30,,64287,50693,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"LANG 1280","Spanish Stage 2",,SPAN,"Beginning Spanish II",1102,,"Oral Communication and Languages",159,,2013-04-30,,64288,50694,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1002","Introduction to Archaeology",,ANTH,"Introduction to Archaeology",1612,,"Social Sciences",141,,2012-04-30,,64392,50804,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1005","World Archaeology and Ancient Civilizations",,ANTH,"Introduction to Archaeology",1612,,"Social Sciences",141,,2011-04-30,,64393,50805,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 2001","Interpreting the Past",,ANTH,"Introduction to Archaeology",1612,,"Social Sciences",141,,2013-04-30,,64394,50806,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 1011","History of Media and Cultural Studies",,COMM,"Foundations of Mass Communication",2101,,"Social Sciences",141,,2011-04-30,,64395,50807,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1021","Economic Concepts",,ECON,"Economics and Society",1003,,"Social Sciences",141,,2011-04-30,,64396,50808,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2021","Macro Economics",,ECON,"Principles of Economics: Macro",1022,,"Social Sciences",141,,2011-04-30,,64397,50809,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2022","Micro Economics",,ECON,"Principles of Economics: Microeconomics",1023,,"Social Sciences",141,,2011-04-30,,64398,50810,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GEOG 1021","People and Place: Introduction to Human Geography",,GEOG,"Human Geography",1304,,"Social Sciences",141,,2012-04-30,,64399,50811,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,PSYC1432,"Introduction to Developmental Psychology",,PSY,"Developmental Psychology",2021,,"Social Sciences",141,,2013-04-30,,64400,50812,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,EDST1108,"Inner City Education",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,"Category 8; Social Sciences","152,141",,2013-04-30,,64425,50837,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SOCG 1000","Approaching Sociology",,SOC,"Introduction to Sociology",1101,,"Cultural Diversity in the US; Social Sciences","155,141",,2010-04-30,,64433,50845,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SOCG 1103","Family Lives",,SOC,"Soc of the Family",1201,,"Social Sciences; Cultural Diversity in the US","141,155",,2013-04-30,,64434,50846,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1002","Business Law",,ACCT,"Acct Major/Minor Group A Elective Credit",2XXX,"Also counts as Int'l Reqmt for BAcc & BBA",,,,2011-04-30,,65189,51632,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1052","Business Accounting Systems",,ACCT,"Acct Major/Minor Group A Elective Credit",2XXX,,,,,2011-04-30,,65190,51633,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2051","Financial Accounting & Analysis",,ACCT,"Acct Major/Minor Group A Elective Credit & Int'l Requirement",3XXX,,,,,2011-04-30,,65191,51634,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2053","Audit, Ethics and Governance",,ACCT,"Acct Major/Minor Group B Elective Credit & Int'l Requirement",3XXX,,,,,2011-04-30,,65192,51635,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2054","Personal Taxation",,ACCT,"Acct Major/Minor Group B Elective Credit & Int'l Requirement",3XXX,,,,,2011-04-30,,65193,51636,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2052","Management Accounting and Finance",,ACCT,"Cost Accounting",3201,,,,,2011-04-30,,65194,51637,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1051","Financial Concepts",,ACCT,"Principles of Managerial Accounting",2002,,,,,2012-04-30,,65195,51638,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1051","Financial Concepts",,ACCT,"Survey of Accounting",2005,,,,,2012-04-30,,65195,51639,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1001","Heritage Studies: A Critical Introduction",,ANTH,"Anth Major/Minor Elective Credit",1XXX,,,,,2012-04-30,,65196,51640,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1003","History of the British Landscape",,ANTH,"Anth Major/Minor Elective Credit",1XXX,,,,,2012-04-30,,65197,51641,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1006","Protecting Heritage",,ANTH,"Anth Major/Minor Elective Credit",1XXX,,,,,2012-04-30,,65198,51642,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 1102","Introduction to Heritage",,ANTH,"Anth Major/Minor Elective Credit",1XXX,,,,,2013-04-30,,65199,51643,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ANIM 1001","Introduction to Animation 1: Origin and Function",,ART,"2D Animation Principles",2801,,,,,2010-04-30,,65200,51644,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ANIM 1004","Character and Characterization",,ART,"2D Animation Principles",2801,,,,,2012-04-30,,65201,51645,1
